area,floor,h_method,href,huxing,metro,orientation,price,renovation,square,tags,time,title,view
立水桥 北京北小区,低楼层/25层,整租,/zufang/500028080.html,1室1厅,距离地铁立水桥511米,东,5800,精装,65平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/24,立水桥地铁边 精装一居室业主自住带阳台 住家齐全拎包住,近30天带看  1  次
学院路 林大院内,高楼层/6层,整租,/zufang/500026114.html,1室1厅,距离地铁清华东路西口610米,东西,5200,精装,50平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/24,五道口 六道口 林大家属楼一居室出租,近30天带看  3  次
团结湖 白家庄东里,中楼层/6层,整租,/zufang/500020769.html,2室1厅,距离地铁团结湖506米,东北,7500,精装,60平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/22,东三环/朝阳公园，团结湖 临国贸财富，博瑞三里屯,近30天带看  4  次
中关村 新科祥园,低楼层/21层,整租,/zufang/42792838.html,3室1厅,距离地铁中关村665米,东,18500,简装,108平米,"近地铁,拎包入住,集中供暖",2019/4/13,新科祥园，大三居两卫，可居家，可办公，看房方便,近30天带看  39  次
双榆树 双榆树西里,中楼层/16层,整租,/zufang/42787874.html,2室1厅,距离地铁人民大学327米,西北,9500,精装,64.2平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/9,双榆树西里，电梯精装2居，家具家电齐全，拎包入住,近30天带看  23  次
五道口 东王庄小区,中楼层/6层,整租,/zufang/42776695.html,2室1厅,距离地铁清华东路西口419米,南北,7500,简装,74.5平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/7,五道口 东王庄南北通透两居室 采光好看房随时,近30天带看  20  次
望京 慧谷阳光,低楼层/11层,整租,/zufang/42776479.html,3室1厅,距离地铁望京东553米,南北,15000,精装,130平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/7,业主直租！慧谷阳光三居两卫 婚房装修 南北通透 有钥匙随时住,近30天带看  17  次
方庄 芳星园三区,中楼层/25层,整租,/zufang/42776290.html,2室1厅,距离地铁方庄676米,南,6200,简装,66平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/7,芳星园三区 精装两居室 拎包入住 看房方便,近30天带看  30  次
玉泉营 三环新城7号院,底层/29层,整租,/zufang/500030179.html,1室1厅,距离地铁丰台站451米,西,5600,精装,62.52平米,"近地铁,随时看",2019/4/25,十号线 丰台站三环新城7号院 精装一居室 看房方便 业主直租,近30天带看  1  次
月坛 月坛北街,底层/6层,整租,/zufang/500027051.html,2室1厅,距离地铁阜成门581米,南,8300,精装,60平米,"近地铁,拎包入住",2019/4/22,月坛北街 金融街 南礼士路月坛公园 拎包入住,近30天带看  4  次
惠新西街 樱花园,低楼层/18层,整租,/zufang/500026760.html,1室1厅,距离地铁惠新西街南口398米,南,6000,精装,57平米,"近地铁,拎包入住,集中供暖",2019/4/23,樱花园出租婚房一居室，惠新西街南口，中日友好医院，华工大,近30天带看  12  次
大红门 建欣苑六里,底层/16层,整租,/zufang/500026207.html,2室1厅,距离地铁大红门671米,东南,6500,精装,110平米,"近地铁,随时看,拎包入住",2019/4/23,大红门角门东地铁站 精装大两居 随时看房10号线 永辉超市,近30天带看  1  次
五道口 东王庄小区,顶层/6层,整租,/zufang/500020785.html,2室1厅,距离地铁清华东路西口419米,南北,7200,精装,68.8平米,"近地铁,随时看",2019/4/22,五道口 六道口东王庄精装两居,近30天带看  4  次
杨庄 地铁楼,低楼层/9层,整租,/zufang/500020131.html,1室1厅,距离地铁杨庄707米,南,3600,简装,60平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/21,新上正规一居室 带客厅，朝南，带阳台， 带电梯，看房有钥匙,近30天带看  4  次
德胜门 德胜里一区,高楼层/18层,整租,/zufang/500019069.html,1室1厅,距离地铁积水潭993米,南,6500,精装,48.3平米,"近地铁,随时看,集中供暖",2019/4/21,德胜里一区，德胜国际，积水潭，看房有钥匙！,近30天带看  2  次
